微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
LxQ3pwlCZ,极客时间的运营来找我推荐专栏，我一般推荐前我都要自己先看一遍，当我看到《etcd实战课》（ 网页链接 ），我发现我前段时间遇到的问题（ ETCD的内存问题 ）都被描述在这个专栏里了，而且还更全，作者还是etcd社区里的一个比较活跃贡献者，如果早点看到，我就可以省下好些时间了。所以，我一下就对这个专栏的质量有了推荐的欲望了。另外，正如在我博客里所说的那样，对于任何一个分布式系统，都需要有一个强一制性的基于Paxos/Raft的可以自动选主，并且在整个集群间同步关键的控制和配置的相关数据，以保证整个集群的行为是统一一致的组件。如果没有这么一个东西的话，就没有办法玩分布式系统。这就是为什么会有像Zookeeper/etcd这样的组件出现并流行的原因。etcd作为云原生架构里的核心组件，不但被用在k8s里，同样可以嵌入在软件内部当成一个lib来用，所以学习etcd，了解其内部机制是一件非常重要的事。这个专栏不仅可以帮你系统的学习，还有很多作者的经验上的分享，所以，推荐给大家。极客时间给了个优惠，用口令「chenhao40」可以节省¥40，到手¥89，链接是：网页链接             [组图共2张]      原图                             ,,"http://ww1.sinaimg.cn/large/538efefbly1h38z09ci4lj20wi1rp111.jpg,http://ww1.sinaimg.cn/large/538efefbly1h38z0q2ikej217f3lx1kx.jpg",无,无,2022-06-15 15:44,新版微博 weibo.com,95,169,10
LxHViuQRV,每次感觉我们家的猫脏了，我都会纠结于到底给他洗个澡，还是把他的毛给剃了……洗澡它会反抗，剃毛它很乖，但是剃完了很难看，而且它的皮肤很嫩，容易受伤……但是一想到让我心烦的猫掉毛，我还是决定把它的毛剔了算了……😂😂  [组图共3张] 原图 ,,"http://ww3.sinaimg.cn/large/538efefbly1h37z6p0kxuj23402c07wj.jpg,http://ww2.sinaimg.cn/large/538efefbly1h37z6n2lxoj23402c0e82.jpg,http://ww4.sinaimg.cn/large/538efefbly1h37z6psidej20y20xhtfe.jpg",无,无,2022-06-14 19:02,iPhone客户端,23,0,8
LxFI947Jg,看到有一个微博说西方的的一个男人打女人社会实验，看旁边的人是否会出来制止，有大量的人说国人太挫，外国太好。我转一个美国的新闻（nypost.com/2022/05/25/trio-brutally-beats-woman-break-her-jaw-in-nyc-attack-video/ ），2022年5月18日，晚上9:15，一个女性在纽约被三个男人爆打，同样没人站出来，最后那一脚，下巴踢脱臼了……【注：我发这贴不是whataboutism，我支持见义勇为，我只希望不要带上任何的民族意识，“自悲”和“自大”都是不好的心态】 左耳朵耗子的微博视频                                 ,,无,"https://f.video.weibocdn.com/o0/SJOeurO9lx07WPYmpNQ401041200209M0E010.mp4?label=mp4_hd&template=640x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1667210411&ssig=Ah4OBrMmkn&KID=unistore,video",无,2022-06-14 13:24,iPhone客户端,144,28,24
Lxvrp28gY,这里有两则新闻，两个小伙子，都是见到女性被人猥亵，挺身而出制止犯罪，这是结局都是见义勇为者被拘留，判刑，罚款。见义勇为要做到“精确”“理智”的防卫，难度系数真的很高……[1] 见义勇为制止企图强奸反被拘留，社会正义为之痛哭落泪[2] 网传武校学生见义勇为却被判刑 真相原来是这样  [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/538efefbly1h36fvhqc15j20xc4m11kx.jpg,http://ww3.sinaimg.cn/large/538efefbly1h36fvh5whlj215o2o8e2s.jpg",无,无,2022-06-13 11:15,iPhone客户端,244,85,37
Lxn40iBcc,1）任何一个为所欲为的流氓团伙或是黑社会如果要想明目张胆的长期存在，必然要靠“保护伞”，这个是没什么好想的，无论哪种类型的国家都是一样的……2）如果一个地方经常出现男人打女人或是持强凌弱这样事，一般来说代表这个地方教育落后，而且法律没有保护好弱者，弱者申张不到自己的权力……  ,,无,无,无,2022-06-12 13:56,新版微博 weibo.com,199,16,19
LwAtrhWoO,Easegress在开源后收到很多反馈，一方面是多协议HTTP/TCP/MQTT支持，另一方面是要更为灵活和干净的服务和流量治理的控制，我们用2个多月进行了重构工作，其中光一个命名我们就讨论了半个月😂，这次诚邀大家来跟我们做个Design/Code Review。于北京时间6月9日晚20点，欢迎参加 ！网页链接  原图 ,,https://wx2.sinaimg.cn/large/538efefbly1h2zgla7a9zj20ts0hndn2.jpg,无,无,2022-06-07 10:14,新版微博 weibo.com,54,21,8
LuEze5B2v,近41岁的人称吕布吕奉先的 #伊布#  Zlatan Ibrahimović 在 #AC米兰夺冠# 后的激情演讲。2000年左右出道既巅峰，然后一直巅峰到现在…… 左耳朵耗子的微博视频  ,,无,"https://f.video.weibocdn.com/o0/M3iXac52lx07WkjgJFiM01041200Bvkm0E010.mp4?label=mp4_hd&template=540x540.24.0&Expires=1667210412&ssig=69GfP71GzN&KID=unistore,video",无,2022-05-25 16:58,iPhone客户端,43,12,9
LrUONDy42,Twitter 上看到的故事……分享给大家！  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/538efefbly1h1zxtf1s2oj20kx6zl1kx.jpg,http://ww1.sinaimg.cn/large/538efefbly1h1zxtedta8j20wi0u0gn1.jpg",无,无,2022-05-07 16:50,iPhone客户端,135,92,36
LrCccn5w5,新写一篇小文章：【ETCD的内存问题】ETCD的内存问题 跟大家分享一个etcd的内存大量占用的问题，这是前段时间在我们开源软件Easegress中遇到的问题，问题是比较简单的，但我还是会把整个问题的前因后果说一遍。希望这篇文章不仅仅只是让你看到了一个简单etcd的问题，还能让你有更多的收获…… （注：cloudflare这几天丢包率非常大，所以，大家备梯子访问）                  原图                             ,,https://wx4.sinaimg.cn/large/538efefbly1h1xnloaoplj207n053755.jpg,无,无,2022-05-05 17:25,新版微博 weibo.com,56,20,4
LrgH2rFsT,马丁叔叔在DDIA中提了一嘴的在线协作的核心能力一一自动冲突合并技术CRDT，在他的YouTube频道里有更深入的讲解 网页链接 ，看完过后的一点summary ，分享出来，看看大家有没有批评指正……  [组图共3张] 原图 ,,"http://ww2.sinaimg.cn/large/538efefbly1h1v0opahzsj20u0140gtb.jpg,http://ww4.sinaimg.cn/large/538efefbly1h1v0opj3l8j20u014046w.jpg,http://ww1.sinaimg.cn/large/538efefbly1h1v0ooxx7uj20u03y7qrq.jpg",无,无,2022-05-03 10:41,iPhone客户端,116,59,15
